size,rows
모두 가능,20184
해당없음,2789
소형/중형,182
소형,149
5kg 미만 소형,112
대형,73
10kg 미만,62
10kg 이하,51
15kg 이하,32
5kg 이하,25
5kg 미만,25
8kg 이하,21
15kg 미만,20
고양이,17
12kg 이하,14
7kg 미만,12
13kg 이하,10
8kg 미만,9
7kg 이하,8
12kg 미만,8
20kg 이하,5
9kg 미만,4
9kg 이하,4
"모두 가능, 고양이, 포유류 특수동물, 조류, 파충류",4
20kg 미만,3
소형/대형,3
"소형/중형,고양이",3
11kg 이하,2
"모두 가능, 고양이, 포유류 특수동물, 파충류",2
말,2
"포유류 특수동물, 조류, 파충류",2
포유류 특수동물,2
해양동물,2
13kg 미만,2
어류,2
"개, 고양이",2
16kg 이하,2
16kg 미만,2
30kg 미만,2
가금류,1
"개, 고양이, 파충류, 특수동물",1
앵무새,1
"모두 가능, 고양이, 앵무새, 토끼, 고슴도치, 햄스터, 거북이, 도마뱀, 페릿 등 모든 반려동물",1
"모두 가능, 특수동물(햄스터,고슴도치 등)",1
설치류,1
6kg 이하,1
10kg 이내,1
10Kg 이하,1
특수동물(하늘다람쥐),1
"모두 가능, 고양이, 포유류 특수동물",1
"모두 가능, 특수동물(소동물)",1
포유류 특수동물(고슴도치),1
"12kg 이하, 금요일은 모두 가능",1
"개, 고양이, 특수동물(햄스터, 고슴도치)",1
6kg 미만,1
"소형, 고양이",1
"10kg, 체고 40cm 이하",1
"모두 가능, 도마뱀, 뱀, 토끼, 햄스터, 고슴도치, 다람쥐 등 소형 특수동물",1
"모두 가능, 특수동물(햄스터, 고슴도치) 등",1
35kg 미만,1
25~30kg,1
"개, 고양이, 특수동물(햄스터,고슴도치,토끼 기본진료)",1
45kg 이하,1
3kg 이하 소형,1
5KG 미만,1
"모두 가능, 고양이, 고슴도치, 햄스터",1
"주말, 공휴일 15kg 이하",1
"주말 8kg, 평일 12kg 이하",1
14kg 이하,1
3kg 미만,1
6~18kg,1
13~25kg,1
"소형,특수견",1
"말, 소, 염소",1
12kg 이하 소형,1
"모두 가능, 토끼, 햄스터 등 특수동물",1
"모두 가능, 고양이, 토끼",1
소형(안을 수 있는 크기),1
"모두 가능, 토끼, 고슴도치, 햄스터, 기니피그 등 특수동물",1
4kg 미만,1
주말 및 공휴일은 13kg 이하,1
중형/대형,1
15kg 이상,1
"개, 고양이, 새(닭), 특수동물(물고기)",1
"모두 가능, 특수동물(햄스터 등)",1
"모두 가능, 포유류 특수동물",1
"모두 가능, 조류",1
17kg 이하 가능,1
"모두 가능, 고양이, 포유류 특수동물, 조류",1
"20Kg 이하 소형,중형",1
14kg 미만,1
"모두 가능, 기니피그,햄스터 등",1
"모두 가능, 어류",1
25kg 미만,1
18kg 미만,1
8kg이상,1
5KG 이하,1
"모두 가능, 파충류",1
10Kg 미만,1
10KG 미만,1
