region,origin_id,origin_name,dest_id,dest_name,straight_m,option,distance_m,duration_s,crosswalk,big_crossings,stairs,underpass,underpass_m,origin_passage_m,overpass,elevator,slope,big_road_ratio
gangnam,1926,에이드동물병원,732,The Ark(디아크),440,recommended,551,455,2,1,0,0,0,0,0,0,0,0.69
gangnam,1926,에이드동물병원,732,The Ark(디아크),440,main_road,551,455,2,1,0,0,0,0,0,0,0,0.69
gangnam,1926,에이드동물병원,732,The Ark(디아크),440,no_stairs,551,455,2,1,0,0,0,0,0,0,0,0.69
gangnam,1926,에이드동물병원,2814,압구정동물의료센터,930,recommended,1091,866,3,1,0,0,0,0,0,0,0,0.86
gangnam,1926,에이드동물병원,2814,압구정동물의료센터,930,main_road,1091,866,3,1,0,0,0,0,0,0,0,0.86
gangnam,1926,에이드동물병원,2814,압구정동물의료센터,930,no_stairs,1091,866,3,1,0,0,0,0,0,0,0,0.86
gangnam,1926,에이드동물병원,4556,강남동물병원,1603,recommended,1723,1432,7,2,0,0,0,0,0,0,0,0.84
gangnam,1926,에이드동물병원,4556,강남동물병원,1603,main_road,1723,1432,7,2,0,0,0,0,0,0,0,0.84
gangnam,1926,에이드동물병원,4556,강남동물병원,1603,no_stairs,1723,1432,7,2,0,0,0,0,0,0,0,0.84
gangnam,4804,충현동물병원,4221,펫코도니아 동물의료센터,439,recommended,661,520,1,0,0,0,0,0,0,0,0,0.43
gangnam,4804,충현동물병원,4221,펫코도니아 동물의료센터,439,main_road,661,520,1,0,0,0,0,0,0,0,0,0.43
gangnam,4804,충현동물병원,4221,펫코도니아 동물의료센터,439,no_stairs,661,520,1,0,0,0,0,0,0,0,0,0.43
gangnam,4804,충현동물병원,77,엠에스동물안과병원,904,recommended,1260,928,1,1,0,0,0,0,0,0,0,0.81
gangnam,4804,충현동물병원,77,엠에스동물안과병원,904,main_road,1260,928,1,1,0,0,0,0,0,0,0,0.81
gangnam,4804,충현동물병원,77,엠에스동물안과병원,904,no_stairs,1260,928,1,1,0,0,0,0,0,0,0,0.81
gangnam,4804,충현동물병원,8239,유림동물안과병원,1610,recommended,2083,1633,4,4,0,0,0,0,0,0,0,0.45
gangnam,4804,충현동물병원,8239,유림동물안과병원,1610,main_road,2285,1777,5,3,0,0,0,0,0,0,0,0.94
gangnam,4804,충현동물병원,8239,유림동물안과병원,1610,no_stairs,2083,1633,4,4,0,0,0,0,0,0,0,0.45
gangnam,2390,24시OK동물병원,214,온숲 영상·외과 동물의료센터,473,recommended,499,443,3,1,0,0,0,0,0,0,0,0.63
gangnam,2390,24시OK동물병원,214,온숲 영상·외과 동물의료센터,473,main_road,499,443,3,1,0,0,0,0,0,0,0,0.63
gangnam,2390,24시OK동물병원,214,온숲 영상·외과 동물의료센터,473,no_stairs,499,443,3,1,0,0,0,0,0,0,0,0.63
gangnam,2390,24시OK동물병원,446,도곡 치유 동물병원,933,recommended,972,839,5,1,0,0,0,0,0,0,0,0.75
gangnam,2390,24시OK동물병원,446,도곡 치유 동물병원,933,main_road,972,839,5,1,0,0,0,0,0,0,0,0.75
gangnam,2390,24시OK동물병원,446,도곡 치유 동물병원,933,no_stairs,972,839,5,1,0,0,0,0,0,0,0,0.75
gangnam,2390,24시OK동물병원,1749,아이힐 동물병원,1601,recommended,1629,1367,7,1,0,0,0,0,0,0,0,0.83
gangnam,2390,24시OK동물병원,1749,아이힐 동물병원,1601,main_road,1629,1367,7,1,0,0,0,0,0,0,0,0.83
gangnam,2390,24시OK동물병원,1749,아이힐 동물병원,1601,no_stairs,1629,1367,7,1,0,0,0,0,0,0,0,0.83
gangnam,717,청담 고운 피부과 동물병원,897,라퓨클레르 동물피부클리닉,573,recommended,701,500,0,0,0,0,0,0,0,0,0,0.38
gangnam,717,청담 고운 피부과 동물병원,897,라퓨클레르 동물피부클리닉,573,main_road,701,500,0,0,0,0,0,0,0,0,0,0.38
gangnam,717,청담 고운 피부과 동물병원,897,라퓨클레르 동물피부클리닉,573,no_stairs,701,500,0,0,0,0,0,0,0,0,0,0.38
gangnam,717,청담 고운 피부과 동물병원,3118,굿모닝동물병원,1002,recommended,1325,1013,2,1,0,0,0,0,0,0,0,0.62
gangnam,717,청담 고운 피부과 동물병원,3118,굿모닝동물병원,1002,main_road,1451,1092,2,1,0,0,0,0,0,0,0,0.64
gangnam,717,청담 고운 피부과 동물병원,3118,굿모닝동물병원,1002,no_stairs,1325,1013,2,1,0,0,0,0,0,0,0,0.62
gangnam,717,청담 고운 피부과 동물병원,453,비비동물병원,1608,recommended,2161,1721,4,3,0,0,0,0,0,0,0,0.6
gangnam,717,청담 고운 피부과 동물병원,453,비비동물병원,1608,main_road,2534,1952,4,4,0,0,0,0,0,0,0,0.5
gangnam,717,청담 고운 피부과 동물병원,453,비비동물병원,1608,no_stairs,6501,5052,13,6,0,0,0,0,0,0,0,0.73
gangnam,1213,디아동물병원,1268,다랑동물병원,492,recommended,622,497,1,0,0,0,0,0,0,0,0,0.0
gangnam,1213,디아동물병원,1268,다랑동물병원,492,main_road,622,497,1,0,0,0,0,0,0,0,0,0.0
gangnam,1213,디아동물병원,1268,다랑동물병원,492,no_stairs,622,497,1,0,0,0,0,0,0,0,0,0.0
gangnam,1213,디아동물병원,4896,개포동물병원,927,recommended,1087,818,1,0,0,0,0,0,0,0,0,0.74
gangnam,1213,디아동물병원,4896,개포동물병원,927,main_road,1221,905,1,0,0,0,0,0,0,0,0,0.5
gangnam,1213,디아동물병원,4896,개포동물병원,927,no_stairs,1087,818,1,0,0,0,0,0,0,0,0,0.74
gangnam,1213,디아동물병원,5815,고려종합동물병원,1631,recommended,1920,1491,4,1,0,0,0,0,0,0,0,0.67
gangnam,1213,디아동물병원,5815,고려종합동물병원,1631,main_road,1920,1491,4,1,0,0,0,0,0,0,0,0.67
gangnam,1213,디아동물병원,5815,고려종합동물병원,1631,no_stairs,1920,1491,4,1,0,0,0,0,0,0,0,0.67
gangnam,95,클라리티 동물치과병원,4221,펫코도니아 동물의료센터,331,recommended,594,456,1,0,0,0,0,0,0,0,0,0.39
gangnam,95,클라리티 동물치과병원,4221,펫코도니아 동물의료센터,331,main_road,594,456,1,0,0,0,0,0,0,0,0,0.39
gangnam,95,클라리티 동물치과병원,4221,펫코도니아 동물의료센터,331,no_stairs,594,456,1,0,0,0,0,0,0,0,0,0.39
gangnam,95,클라리티 동물치과병원,1256,강남예치과동물병원,963,recommended,1212,1071,7,4,0,0,0,0,0,0,0,0.63
gangnam,95,클라리티 동물치과병원,1256,강남예치과동물병원,963,main_road,1212,1071,7,4,0,0,0,0,0,0,0,0.63
gangnam,95,클라리티 동물치과병원,1256,강남예치과동물병원,963,no_stairs,1212,1071,7,4,0,0,0,0,0,0,0,0.63
gangnam,95,클라리티 동물치과병원,2814,압구정동물의료센터,1632,recommended,1994,1656,8,2,0,0,0,0,0,0,0,0.84
gangnam,95,클라리티 동물치과병원,2814,압구정동물의료센터,1632,main_road,1994,1656,8,2,0,0,0,0,0,0,0,0.84
gangnam,95,클라리티 동물치과병원,2814,압구정동물의료센터,1632,no_stairs,1994,1656,8,2,0,0,0,0,0,0,0,0.84
gangnam,4104,래이동물의료센터,5815,고려종합동물병원,536,recommended,961,720,1,0,0,0,0,0,0,0,0,0.84
gangnam,4104,래이동물의료센터,5815,고려종합동물병원,536,main_road,961,720,1,0,0,0,0,0,0,0,0,0.84
gangnam,4104,래이동물의료센터,5815,고려종합동물병원,536,no_stairs,961,720,1,0,0,0,0,0,0,0,0,0.84
gangnam,4104,래이동물의료센터,370,내과동물병원 루미나,994,recommended,1439,1086,2,1,0,0,0,0,0,0,0,0.77
gangnam,4104,래이동물의료센터,370,내과동물병원 루미나,994,main_road,1439,1086,2,1,0,0,0,0,0,0,0,0.77
gangnam,4104,래이동물의료센터,370,내과동물병원 루미나,994,no_stairs,1439,1086,2,1,0,0,0,0,0,0,0,0.77
gangnam,4104,래이동물의료센터,7874,자연동물병원,1609,recommended,2041,1601,5,3,0,0,0,0,0,0,0,0.61
gangnam,4104,래이동물의료센터,7874,자연동물병원,1609,main_road,2041,1601,5,3,0,0,0,0,0,0,0,0.61
gangnam,4104,래이동물의료센터,7874,자연동물병원,1609,no_stairs,2041,1601,5,3,0,0,0,0,0,0,0,0.61
gangnam,2054,튼튼동물병원,3264,압구정웰동물병원,503,recommended,626,526,2,0,0,0,0,0,0,0,0,0.53
gangnam,2054,튼튼동물병원,3264,압구정웰동물병원,503,main_road,626,526,2,0,0,0,0,0,0,0,0,0.53
gangnam,2054,튼튼동물병원,3264,압구정웰동물병원,503,no_stairs,626,526,2,0,0,0,0,0,0,0,0,0.53
gangnam,2054,튼튼동물병원,3396,치료멍멍동물병원,930,recommended,1197,1044,6,4,0,0,0,0,0,0,0,0.44
gangnam,2054,튼튼동물병원,3396,치료멍멍동물병원,930,main_road,1197,1044,6,4,0,0,0,0,0,0,0,0.44
gangnam,2054,튼튼동물병원,3396,치료멍멍동물병원,930,no_stairs,1197,1044,6,4,0,0,0,0,0,0,0,0.44
gangnam,2054,튼튼동물병원,2440,더힐동물의료센터,1616,recommended,2621,2110,6,4,0,0,0,0,0,0,0,0.72
gangnam,2054,튼튼동물병원,2440,더힐동물의료센터,1616,main_road,2701,2142,5,2,0,0,0,0,0,0,0,0.64
gangnam,2054,튼튼동물병원,2440,더힐동물의료센터,1616,no_stairs,2621,2110,6,4,0,0,0,0,0,0,0,0.72
seongbuk,8213,중앙동물병원,1821,더편한동물병원,705,recommended,955,844,5,4,0,0,0,0,0,0,0,0.12
seongbuk,8213,중앙동물병원,1821,더편한동물병원,705,main_road,955,844,5,4,0,0,0,0,0,0,0,0.12
seongbuk,8213,중앙동물병원,1821,더편한동물병원,705,no_stairs,955,844,5,4,0,0,0,0,0,0,0,0.12
seongbuk,8213,중앙동물병원,5431,삼성동물병원,919,recommended,1345,1132,5,3,0,0,0,0,0,0,0,0.38
seongbuk,8213,중앙동물병원,5431,삼성동물병원,919,main_road,1702,1397,6,3,0,0,0,0,0,0,0,0.54
seongbuk,8213,중앙동물병원,5431,삼성동물병원,919,no_stairs,1345,1132,5,3,0,0,0,0,0,0,0,0.38
seongbuk,8213,중앙동물병원,509,아이튼튼동물병원,1607,recommended,1974,1642,8,4,0,0,0,0,0,0,0,0.92
seongbuk,8213,중앙동물병원,509,아이튼튼동물병원,1607,main_road,1974,1642,8,4,0,0,0,0,0,0,0,0.92
seongbuk,8213,중앙동물병원,509,아이튼튼동물병원,1607,no_stairs,1974,1642,8,4,0,0,0,0,0,0,0,0.92
seongbuk,3977,호담동물병원,2038,24시루시드동물메디컬센터,360,recommended,392,425,5,4,0,0,0,0,0,0,0,0.61
seongbuk,3977,호담동물병원,2038,24시루시드동물메디컬센터,360,main_road,392,425,5,4,0,0,0,0,0,0,0,0.61
seongbuk,3977,호담동물병원,2038,24시루시드동물메디컬센터,360,no_stairs,392,425,5,4,0,0,0,0,0,0,0,0.61
seongbuk,3977,호담동물병원,2802,스마트동물병원 성북길음점,918,recommended,1455,1199,6,3,0,0,0,0,0,0,0,0.74
seongbuk,3977,호담동물병원,2802,스마트동물병원 성북길음점,918,main_road,1455,1199,6,3,0,0,0,0,0,0,0,0.74
seongbuk,3977,호담동물병원,2802,스마트동물병원 성북길음점,918,no_stairs,1455,1199,6,3,0,0,0,0,0,0,0,0.74
seongbuk,3977,호담동물병원,1494,원러브동물의료센터,1634,recommended,2130,1801,8,2,0,0,0,0,0,0,0,0.58
seongbuk,3977,호담동물병원,1494,원러브동물의료센터,1634,main_road,2404,1911,6,2,0,0,0,0,0,0,0,0.54
seongbuk,3977,호담동물병원,1494,원러브동물의료센터,1634,no_stairs,2130,1801,8,2,0,0,0,0,0,0,0,0.58
seongbuk,5466,보성통증동물병원,3636,카카오 N 동물병원,828,recommended,1426,1146,3,3,0,0,0,0,0,0,0,0.08
seongbuk,5466,보성통증동물병원,3636,카카오 N 동물병원,828,main_road,2005,1471,1,1,0,0,0,0,0,0,0,0.08
seongbuk,5466,보성통증동물병원,3636,카카오 N 동물병원,828,no_stairs,1426,1146,3,3,0,0,0,0,0,0,0,0.08
seongbuk,5466,보성통증동물병원,5431,삼성동물병원,1068,recommended,1876,1477,3,3,0,0,0,0,0,0,0,0.2
seongbuk,5466,보성통증동물병원,5431,삼성동물병원,1068,main_road,2037,1581,3,3,0,0,0,0,0,0,0,0.16
seongbuk,5466,보성통증동물병원,5431,삼성동물병원,1068,no_stairs,1876,1477,3,3,0,0,0,0,0,0,0,0.2
seongbuk,5466,보성통증동물병원,3977,호담동물병원,1743,recommended,2521,2036,8,1,0,0,0,0,0,0,0,0.62
seongbuk,5466,보성통증동물병원,3977,호담동물병원,1743,main_road,2530,2041,8,1,0,0,0,0,0,0,0,0.62
seongbuk,5466,보성통증동물병원,3977,호담동물병원,1743,no_stairs,2521,2036,8,1,0,0,0,0,0,0,0,0.62
seongbuk,6912,길음동물병원,5461,ZOO동물병원,383,recommended,659,598,4,2,0,0,0,0,0,0,0,0.7
seongbuk,6912,길음동물병원,5461,ZOO동물병원,383,main_road,659,598,4,2,0,0,0,0,0,0,0,0.7
seongbuk,6912,길음동물병원,5461,ZOO동물병원,383,no_stairs,659,598,4,2,0,0,0,0,0,0,0,0.7
seongbuk,6912,길음동물병원,5302,우리동물병원,903,recommended,1028,802,3,1,0,0,0,0,0,0,0,0.83
seongbuk,6912,길음동물병원,5302,우리동물병원,903,main_road,1028,802,3,1,0,0,0,0,0,0,0,0.83
seongbuk,6912,길음동물병원,5302,우리동물병원,903,no_stairs,1028,802,3,1,0,0,0,0,0,0,0,0.83
seongbuk,6912,길음동물병원,1242,아이사랑동물병원 건강검진센터,1608,recommended,1760,1362,4,2,0,0,0,0,0,0,0,0.83
seongbuk,6912,길음동물병원,1242,아이사랑동물병원 건강검진센터,1608,main_road,1794,1382,4,2,0,0,0,0,0,0,0,0.88
seongbuk,6912,길음동물병원,1242,아이사랑동물병원 건강검진센터,1608,no_stairs,1760,1362,4,2,0,0,0,0,0,0,0,0.83
seongbuk,3193,넬 동물의료센터,6853,창문동물병원,310,recommended,428,334,1,0,0,0,0,0,0,0,0,0.93
seongbuk,3193,넬 동물의료센터,6853,창문동물병원,310,main_road,428,334,1,0,0,0,0,0,0,0,0,0.93
seongbuk,3193,넬 동물의료센터,6853,창문동물병원,310,no_stairs,428,334,1,0,0,0,0,0,0,0,0,0.93
seongbuk,3193,넬 동물의료센터,4864,쓰담쓰담 동물병원,977,recommended,1280,1040,3,2,0,0,0,0,0,0,0,0.55
seongbuk,3193,넬 동물의료센터,4864,쓰담쓰담 동물병원,977,main_road,1418,1190,5,4,0,0,0,0,0,0,0,0.59
seongbuk,3193,넬 동물의료센터,4864,쓰담쓰담 동물병원,977,no_stairs,1280,1040,3,2,0,0,0,0,0,0,0,0.55
seongbuk,3193,넬 동물의료센터,5461,ZOO동물병원,1620,recommended,2205,1864,10,4,0,0,0,0,0,0,0,0.84
seongbuk,3193,넬 동물의료센터,5461,ZOO동물병원,1620,main_road,2205,1864,10,4,0,0,0,0,0,0,0,0.84
seongbuk,3193,넬 동물의료센터,5461,ZOO동물병원,1620,no_stairs,2205,1864,10,4,0,0,0,0,0,0,0,0.84
seongbuk,5302,우리동물병원,2802,스마트동물병원 성북길음점,350,recommended,562,501,3,2,0,0,0,0,0,0,0,0.13
seongbuk,5302,우리동물병원,2802,스마트동물병원 성북길음점,350,main_road,562,501,3,2,0,0,0,0,0,0,0,0.13
seongbuk,5302,우리동물병원,2802,스마트동물병원 성북길음점,350,no_stairs,562,501,3,2,0,0,0,0,0,0,0,0.13
seongbuk,5302,우리동물병원,6912,길음동물병원,903,recommended,1028,802,3,1,0,0,0,0,0,0,0,0.83
seongbuk,5302,우리동물병원,6912,길음동물병원,903,main_road,1028,802,3,1,0,0,0,0,0,0,0,0.83
seongbuk,5302,우리동물병원,6912,길음동물병원,903,no_stairs,1028,802,3,1,0,0,0,0,0,0,0,0.83
seongbuk,5302,우리동물병원,4056,봉식동물병원,1704,recommended,1772,1382,4,3,0,0,0,0,0,0,0,0.96
seongbuk,5302,우리동물병원,4056,봉식동물병원,1704,main_road,1772,1382,4,3,0,0,0,0,0,0,0,0.96
seongbuk,5302,우리동물병원,4056,봉식동물병원,1704,no_stairs,1772,1382,4,3,0,0,0,0,0,0,0,0.96
seongbuk,5728,미소동물병원,3672,도담도담동물병원,659,recommended,1076,922,5,4,0,0,0,0,0,0,0,0.34
seongbuk,5728,미소동물병원,3672,도담도담동물병원,659,main_road,1074,920,5,4,0,0,0,0,0,0,0,0.33
seongbuk,5728,미소동물병원,3672,도담도담동물병원,659,no_stairs,1076,922,5,4,0,0,0,0,0,0,0,0.34
seongbuk,5728,미소동물병원,6912,길음동물병원,1052,recommended,1564,1328,7,1,0,0,0,0,0,0,0,0.8
seongbuk,5728,미소동물병원,6912,길음동물병원,1052,main_road,1564,1328,7,1,0,0,0,0,0,0,0,0.8
seongbuk,5728,미소동물병원,6912,길음동물병원,1052,no_stairs,1564,1328,7,1,0,0,0,0,0,0,0,0.8
seongbuk,5728,미소동물병원,1837,성신동물병원,1648,recommended,2688,2085,5,4,0,0,0,0,0,0,0,0.29
seongbuk,5728,미소동물병원,1837,성신동물병원,1648,main_road,2859,2217,6,5,0,0,0,0,0,0,0,0.33
seongbuk,5728,미소동물병원,1837,성신동물병원,1648,no_stairs,2688,2085,5,4,0,0,0,0,0,0,0,0.29
seongbuk,7816,푸른종합동물병원,425,청량리 슬기 동물병원,564,recommended,647,548,3,1,0,0,0,0,0,0,0,0.88
seongbuk,7816,푸른종합동물병원,425,청량리 슬기 동물병원,564,main_road,647,548,3,1,0,0,0,0,0,0,0,0.88
seongbuk,7816,푸른종합동물병원,425,청량리 슬기 동물병원,564,no_stairs,647,548,3,1,0,0,0,0,0,0,0,0.88
seongbuk,7816,푸른종합동물병원,1,토닥토닥동물병원,1070,recommended,1367,1194,6,4,0,1,99,0,0,0,0,0.61
seongbuk,7816,푸른종합동물병원,1,토닥토닥동물병원,1070,main_road,1443,1270,7,5,0,1,98,0,0,0,0,0.65
