step	action	session	pet	site	capture	outcome	owner	certification	disposition	photo
neutral_mark	mark	s1	p1	A	-	-	p1	UNVERIFIED	GRANTED	NOT_SUBMITTED
attach	submit	s1	p1	A	c1	-	p1	UNVERIFIED	GRANTED	PENDING
reject	resolve	s1	p1	A	c1	REJECTED	p1	UNVERIFIED	GRANTED	REJECTED
reshoot	submit	s1	p1	A	c2	-	p1	UNVERIFIED	GRANTED	PENDING
network_failure	resolve	s1	p1	A	c2	RETRYABLE_FAILURE	p1	UNVERIFIED	GRANTED	RETRY_PENDING
resume	resume	s1	p1	A	c2	-	p1	UNVERIFIED	GRANTED	PENDING
strengthen	resolve	s1	p1	A	c2	ACCEPTED	p1	VERIFIED	GRANTED	VERIFIED
duplicate_callback	resolve	s1	p1	A	c2	ACCEPTED	p1	VERIFIED	GRANTED	VERIFIED
another_site	mark	s1	p1	B	-	-	p1	UNVERIFIED	GRANTED	NOT_SUBMITTED
same_site	mark	s1	p1	A	-	-	p1	VERIFIED	GRANTED	VERIFIED
rival_mark	mark	s2	p2	A	-	-	p1	VERIFIED	PHOTO_REQUIRED	NOT_SUBMITTED
rival_photo	submit	s2	p2	A	c3	-	p1	VERIFIED	PHOTO_REQUIRED	PENDING
rival_takeover	resolve	s2	p2	A	c3	ACCEPTED	p2	VERIFIED	GRANTED	VERIFIED
old_session_cannot_reclaim	mark	s1	p1	A	-	-	p2	VERIFIED	GRANTED	VERIFIED
new_session	mark	s3	p1	A	-	-	p2	VERIFIED	PHOTO_REQUIRED	NOT_SUBMITTED
new_photo	submit	s3	p1	A	c4	-	p2	VERIFIED	PHOTO_REQUIRED	PENDING
reclaim	resolve	s3	p1	A	c4	ACCEPTED	p1	VERIFIED	GRANTED	VERIFIED
unsettled_policy	mark	s4	p3	B	-	-	p1	UNVERIFIED	POLICY_UNDECIDED	NOT_SUBMITTED
certified_priority	submit	s4	p3	B	c5	-	p1	UNVERIFIED	POLICY_UNDECIDED	PENDING
certified_takeover	resolve	s4	p3	B	c5	ACCEPTED	p3	VERIFIED	GRANTED	VERIFIED
